,user_id,num_movies_rated,avg_rating,rating_std,high_rated_movies,low_rated_movies,avg_sentiment,avg_review_length
23290,ur2385095,1.0,8.0,0.0,1.0,0.0,0.44000000000000006,92.0
23291,ur23853088,1.0,10.0,0.0,1.0,0.0,0.28767857142857145,273.0
23292,ur2385416,1.0,7.0,0.0,0.0,0.0,0.17159624413145547,621.0
23293,ur23854654,1.0,5.0,0.0,0.0,0.0,-0.09508928571428571,99.0
23294,ur2385634,1.0,5.0,0.0,0.0,0.0,0.09528695806680881,460.0
23295,ur23858351,1.0,7.0,0.0,0.0,0.0,0.22212862318840582,201.0
23296,ur23859216,1.0,10.0,0.0,1.0,0.0,0.38361111111111107,167.0
23297,ur2386073,1.0,2.0,0.0,0.0,1.0,0.19583333333333333,268.0
23298,ur2386152,2.0,10.0,0.0,2.0,0.0,0.25916666666666666,44.0
23299,ur2386365,1.0,4.0,0.0,0.0,1.0,0.05051652892561984,205.0
23300,ur2386398,2.0,5.5,3.5355339059327378,1.0,1.0,-0.029209280303030258,141.5
23301,ur23865167,1.0,10.0,0.0,1.0,0.0,0.25798319327731095,150.0
23302,ur23865995,1.0,10.0,0.0,1.0,0.0,0.15879120879120878,181.0
23303,ur23866377,1.0,4.0,0.0,0.0,1.0,-0.09895833333333333,70.0
23304,ur23869491,1.0,10.0,0.0,1.0,0.0,0.10600000000000001,225.0
23305,ur23869746,2.0,7.0,2.8284271247461903,1.0,0.0,0.30186327888687237,200.0
23306,ur2387121,1.0,8.0,0.0,1.0,0.0,0.1590909090909091,179.0
23307,ur23871377,3.0,9.0,1.7320508075688772,2.0,0.0,0.12889030612244898,180.33333333333334
23308,ur23872465,1.0,10.0,0.0,1.0,0.0,0.35416666666666663,96.0
23309,ur2387339,1.0,8.0,0.0,1.0,0.0,-0.13380102040816327,152.0
23310,ur23873513,1.0,2.0,0.0,0.0,1.0,0.0,13.0
23311,ur2387487,1.0,10.0,0.0,1.0,0.0,0.034037757114680184,226.0
23312,ur2387526,2.0,8.5,2.1213203435596424,1.0,0.0,0.2370542903151599,161.5
23313,ur23875350,1.0,8.0,0.0,1.0,0.0,0.17666666666666667,115.0
23314,ur2387620,44.0,6.045454545454546,1.5841444827009563,5.0,7.0,0.14953414027935083,240.22727272727272
23315,ur2387746,1.0,6.0,0.0,0.0,0.0,0.10259740259740259,164.0
23316,ur23877472,1.0,10.0,0.0,1.0,0.0,0.20561799311799311,260.0
23317,ur23881763,1.0,7.0,0.0,0.0,0.0,0.17875000000000002,231.0
23318,ur23881845,1.0,3.0,0.0,0.0,1.0,0.1636080189651618,101.0
23319,ur23882259,3.0,8.0,1.7320508075688772,2.0,0.0,0.14550520852518634,192.0
23320,ur23882356,2.0,8.0,2.8284271247461903,1.0,0.0,0.10560249745700565,367.0
23321,ur2388238,2.0,7.5,0.7071067811865476,1.0,0.0,0.14869698284171967,212.0
23322,ur23883771,5.0,5.8,3.1144823004794873,2.0,1.0,0.1644465655004067,319.0
23323,ur23885739,1.0,9.0,0.0,1.0,0.0,0.13744341253062184,389.0
23324,ur23885806,1.0,10.0,0.0,1.0,0.0,0.15344611528822058,147.0
23325,ur2388657,31.0,6.741935483870968,2.112940162198697,12.0,5.0,0.12868885866381125,202.61290322580646
23326,ur23886937,1.0,10.0,0.0,1.0,0.0,0.015909090909090914,133.0
23327,ur23887409,631.0,6.589540412044374,1.814706660767555,136.0,71.0,0.17513261525061863,245.25039619651346
23328,ur2388879,2.0,7.5,0.7071067811865476,1.0,0.0,0.10930971861919445,275.0
23329,ur2389010,1.0,10.0,0.0,1.0,0.0,0.2897727272727273,138.0
23330,ur23892395,1.0,7.0,0.0,0.0,0.0,0.18867283950617286,235.0
23331,ur23897153,1.0,6.0,0.0,0.0,0.0,0.15787037037037036,207.0
23332,ur23897356,5.0,8.0,1.8708286933869707,2.0,0.0,0.14933509070160172,417.4
23333,ur23897987,1.0,7.0,0.0,0.0,0.0,0.18651041666666665,342.0
23334,ur23901412,15.0,7.0,1.558387444947959,5.0,2.0,0.17162063166701405,248.66666666666666
23335,ur23903304,1.0,5.0,0.0,0.0,0.0,0.045454545454545456,138.0
23336,ur2390461,1.0,7.0,0.0,0.0,0.0,0.16716076808182073,427.0
23337,ur23907294,1.0,1.0,0.0,0.0,1.0,0.016666666666666663,129.0
23338,ur2390813,1.0,10.0,0.0,1.0,0.0,0.2074829931972789,191.0
23339,ur2390872,8.0,5.125,2.2320714274285347,1.0,2.0,0.14150966261898656,302.125
23340,ur23908980,11.0,7.818181818181818,2.227921983292136,7.0,1.0,0.1635008128198302,209.27272727272728
23341,ur2390950,1.0,4.0,0.0,0.0,1.0,0.046296296296296294,129.0
23342,ur2391109,1.0,4.0,0.0,0.0,1.0,0.10454545454545455,125.0
23343,ur2391220,2.0,6.5,0.7071067811865476,0.0,0.0,-0.09299242424242421,115.5
23344,ur23914997,1.0,9.0,0.0,1.0,0.0,0.08888888888888888,53.0
23345,ur23915868,3.0,7.333333333333333,2.516611478423583,1.0,0.0,0.15781146130104465,158.33333333333334
23346,ur23916932,1.0,10.0,0.0,1.0,0.0,0.3386534851866883,109.0
23347,ur2391750,1.0,10.0,0.0,1.0,0.0,0.271,84.0
23348,ur23919298,1.0,9.0,0.0,1.0,0.0,0.04722222222222222,104.0
23349,ur2392155,1.0,1.0,0.0,0.0,1.0,0.06875,134.0
23350,ur23922107,4.0,8.25,1.707825127659933,3.0,0.0,0.045476190476190476,50.0
23351,ur2392594,1.0,6.0,0.0,0.0,0.0,0.27851562499999993,252.0
23352,ur23926852,1.0,10.0,0.0,1.0,0.0,0.049019607843137254,128.0
23353,ur2392712,1.0,7.0,0.0,0.0,0.0,0.18883371530430357,148.0
23354,ur23928667,1.0,10.0,0.0,1.0,0.0,0.2588624338624339,170.0
23355,ur23931440,1.0,10.0,0.0,1.0,0.0,0.012820512820512827,182.0
23356,ur2393267,1.0,8.0,0.0,1.0,0.0,0.24000000000000002,170.0
23357,ur2393310,1.0,7.0,0.0,0.0,0.0,0.10781250000000002,164.0
23358,ur2393347,2.0,7.0,2.8284271247461903,1.0,0.0,0.10928481240981239,245.5
23359,ur2393396,3.0,5.666666666666667,3.5118845842842465,1.0,1.0,0.1272989441995794,257.6666666666667
23360,ur23935167,1.0,8.0,0.0,1.0,0.0,-0.04181918656056587,199.0
